symbol,name,ticker,source_index
GODIGIT,Go Digit General Insurance Ltd.,GODIGIT.NS,NIFTY 500
GODREJCP,Godrej Consumer Products Ltd.,GODREJCP.NS,NIFTY 500
GODREJIND,Godrej Industries Ltd.,GODREJIND.NS,NIFTY 500
GODREJPROP,Godrej Properties Ltd.,GODREJPROP.NS,NIFTY 500
GPIL,Godawari Power & Ispat Ltd.,GPIL.NS,NIFTY 500
GRANULES,Granules India Ltd.,GRANULES.NS,NIFTY 500
GRAPHITE,Graphite India Ltd.,GRAPHITE.NS,NIFTY 500
GRASIM,Grasim Industries Ltd.,GRASIM.NS,NIFTY 500
GRAVITA,Gravita India Ltd.,GRAVITA.NS,NIFTY 500
GROWW,Billionbrains Garage Ventures Ltd.,GROWW.NS,NIFTY 500
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,GRSE.NS,NIFTY 500
GVT&D,GE Vernova T&D India Ltd.,GVT&D.NS,NIFTY 500
HAL,Hindustan Aeronautics Ltd.,HAL.NS,NIFTY 500
HAVELLS,Havells India Ltd.,HAVELLS.NS,NIFTY 500
HBLENGINE,HBL Engineering Ltd.,HBLENGINE.NS,NIFTY 500
HCLTECH,HCL Technologies Ltd.,HCLTECH.NS,NIFTY 500
HDBFS,HDB Financial Services Ltd.,HDBFS.NS,NIFTY 500
HDFCAMC,HDFC Asset Management Company Ltd.,HDFCAMC.NS,NIFTY 500
HDFCBANK,HDFC Bank Ltd.,HDFCBANK.NS,NIFTY 500
HDFCLIFE,HDFC Life Insurance Company Ltd.,HDFCLIFE.NS,NIFTY 500
HEG,H.E.G. Ltd.,HEG.NS,NIFTY 500
HEROMOTOCO,Hero MotoCorp Ltd.,HEROMOTOCO.NS,NIFTY 500
HEXT,Hexaware Technologies Ltd.,HEXT.NS,NIFTY 500
HFCL,HFCL Ltd.,HFCL.NS,NIFTY 500
HINDALCO,Hindalco Industries Ltd.,HINDALCO.NS,NIFTY 500
HINDCOPPER,Hindustan Copper Ltd.,HINDCOPPER.NS,NIFTY 500
HINDPETRO,Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,NIFTY 500
HINDUNILVR,Hindustan Unilever Ltd.,HINDUNILVR.NS,NIFTY 500
HINDZINC,Hindustan Zinc Ltd.,HINDZINC.NS,NIFTY 500
HOMEFIRST,Home First Finance Company India Ltd.,HOMEFIRST.NS,NIFTY 500
HONASA,Honasa Consumer Ltd.,HONASA.NS,NIFTY 500
HONAUT,Honeywell Automation India Ltd.,HONAUT.NS,NIFTY 500
HSCL,Himadri Speciality Chemical Ltd.,HSCL.NS,NIFTY 500
HUDCO,Housing & Urban Development Corporation Ltd.,HUDCO.NS,NIFTY 500
HYUNDAI,Hyundai Motor India Ltd.,HYUNDAI.NS,NIFTY 500
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,ICICIAMC.NS,NIFTY 500
ICICIBANK,ICICI Bank Ltd.,ICICIBANK.NS,NIFTY 500
ICICIGI,ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS,NIFTY 500
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS,NIFTY 500
IDBI,IDBI Bank Ltd.,IDBI.NS,NIFTY 500
IDEA,Vodafone Idea Ltd.,IDEA.NS,NIFTY 500
IDFCFIRSTB,IDFC First Bank Ltd.,IDFCFIRSTB.NS,NIFTY 500
IEX,Indian Energy Exchange Ltd.,IEX.NS,NIFTY 500
IFCI,IFCI Ltd.,IFCI.NS,NIFTY 500
IGIL,International Gemological Institute Ltd.,IGIL.NS,NIFTY 500
IGL,Indraprastha Gas Ltd.,IGL.NS,NIFTY 500
IIFL,IIFL Finance Ltd.,IIFL.NS,NIFTY 500
IKS,Inventurus Knowledge Solutions Ltd.,IKS.NS,NIFTY 500
INDGN,Indegene Ltd.,INDGN.NS,NIFTY 500
INDHOTEL,Indian Hotels Co. Ltd.,INDHOTEL.NS,NIFTY 500
INDIACEM,India Cements Ltd.,INDIACEM.NS,NIFTY 500
INDIAMART,Indiamart Intermesh Ltd.,INDIAMART.NS,NIFTY 500
INDIANB,Indian Bank,INDIANB.NS,NIFTY 500
INDIGO,InterGlobe Aviation Ltd.,INDIGO.NS,NIFTY 500
INDUSINDBK,IndusInd Bank Ltd.,INDUSINDBK.NS,NIFTY 500
INDUSTOWER,Indus Towers Ltd.,INDUSTOWER.NS,NIFTY 500
INFY,Infosys Ltd.,INFY.NS,NIFTY 500
INOXWIND,Inox Wind Ltd.,INOXWIND.NS,NIFTY 500
INTELLECT,Intellect Design Arena Ltd.,INTELLECT.NS,NIFTY 500
IOB,Indian Overseas Bank,IOB.NS,NIFTY 500
IOC,Indian Oil Corporation Ltd.,IOC.NS,NIFTY 500
IPCALAB,Ipca Laboratories Ltd.,IPCALAB.NS,NIFTY 500
IRB,IRB Infrastructure Developers Ltd.,IRB.NS,NIFTY 500
IRCON,IRCON International Ltd.,IRCON.NS,NIFTY 500
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,IRCTC.NS,NIFTY 500
IREDA,Indian Renewable Energy Development Agency Ltd.,IREDA.NS,NIFTY 500
IRFC,Indian Railway Finance Corporation Ltd.,IRFC.NS,NIFTY 500
ITC,ITC Ltd.,ITC.NS,NIFTY 500
ITCHOTELS,ITC Hotels Ltd.,ITCHOTELS.NS,NIFTY 500
ITI,ITI Ltd.,ITI.NS,NIFTY 500
J&KBANK,Jammu & Kashmir Bank Ltd.,J&KBANK.NS,NIFTY 500
JAINREC,Jain Resource Recycling Ltd.,JAINREC.NS,NIFTY 500
JBMA,JBM Auto Ltd.,JBMA.NS,NIFTY 500
JINDALSAW,Jindal Saw Ltd.,JINDALSAW.NS,NIFTY 500
