symbol,name,ticker,source_index
BLUEJET,Blue Jet Healthcare Ltd.,BLUEJET.NS,NIFTY 500
BLUESTARCO,Blue Star Ltd.,BLUESTARCO.NS,NIFTY 500
BOSCHLTD,Bosch Ltd.,BOSCHLTD.NS,NIFTY 500
BPCL,Bharat Petroleum Corporation Ltd.,BPCL.NS,NIFTY 500
BRIGADE,Brigade Enterprises Ltd.,BRIGADE.NS,NIFTY 500
BRITANNIA,Britannia Industries Ltd.,BRITANNIA.NS,NIFTY 500
BSE,BSE Ltd.,BSE.NS,NIFTY 500
BSOFT,Birlasoft Ltd.,BSOFT.NS,NIFTY 500
CAMS,Computer Age Management Services Ltd.,CAMS.NS,NIFTY 500
CANBK,Canara Bank,CANBK.NS,NIFTY 500
CANFINHOME,Can Fin Homes Ltd.,CANFINHOME.NS,NIFTY 500
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,CANHLIFE.NS,NIFTY 500
CAPLIPOINT,Caplin Point Laboratories Ltd.,CAPLIPOINT.NS,NIFTY 500
CARBORUNIV,Carborundum Universal Ltd.,CARBORUNIV.NS,NIFTY 500
CARTRADE,Cartrade Tech Ltd.,CARTRADE.NS,NIFTY 500
CASTROLIND,Castrol India Ltd.,CASTROLIND.NS,NIFTY 500
CCL,CCL Products (I) Ltd.,CCL.NS,NIFTY 500
CDSL,Central Depository Services (India) Ltd.,CDSL.NS,NIFTY 500
CEATLTD,Ceat Ltd.,CEATLTD.NS,NIFTY 500
CEMPRO,Cemindia Projects Ltd.,CEMPRO.NS,NIFTY 500
CENTRALBK,Central Bank of India,CENTRALBK.NS,NIFTY 500
CESC,CESC Ltd.,CESC.NS,NIFTY 500
CGCL,Capri Global Capital Ltd.,CGCL.NS,NIFTY 500
CGPOWER,CG Power and Industrial Solutions Ltd.,CGPOWER.NS,NIFTY 500
CHALET,Chalet Hotels Ltd.,CHALET.NS,NIFTY 500
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT.NS,NIFTY 500
CHENNPETRO,Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,NIFTY 500
CHOICEIN,Choice International Ltd.,CHOICEIN.NS,NIFTY 500
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS,NIFTY 500
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG.NS,NIFTY 500
CIEINDIA,CIE Automotive India Ltd.,CIEINDIA.NS,NIFTY 500
CIPLA,Cipla Ltd.,CIPLA.NS,NIFTY 500
CLEAN,Clean Science and Technology Ltd.,CLEAN.NS,NIFTY 500
COALINDIA,Coal India Ltd.,COALINDIA.NS,NIFTY 500
COCHINSHIP,Cochin Shipyard Ltd.,COCHINSHIP.NS,NIFTY 500
COFORGE,Coforge Ltd.,COFORGE.NS,NIFTY 500
COHANCE,Cohance Lifesciences Ltd.,COHANCE.NS,NIFTY 500
COLPAL,Colgate Palmolive (India) Ltd.,COLPAL.NS,NIFTY 500
CONCOR,Container Corporation of India Ltd.,CONCOR.NS,NIFTY 500
CONCORDBIO,Concord Biotech Ltd.,CONCORDBIO.NS,NIFTY 500
COROMANDEL,Coromandel International Ltd.,COROMANDEL.NS,NIFTY 500
CPPLUS,Aditya Infotech Ltd.,CPPLUS.NS,NIFTY 500
CRAFTSMAN,Craftsman Automation Ltd.,CRAFTSMAN.NS,NIFTY 500
CREDITACC,CreditAccess Grameen Ltd.,CREDITACC.NS,NIFTY 500
CRISIL,CRISIL Ltd.,CRISIL.NS,NIFTY 500
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS,NIFTY 500
CUB,City Union Bank Ltd.,CUB.NS,NIFTY 500
CUMMINSIND,Cummins India Ltd.,CUMMINSIND.NS,NIFTY 500
CYIENT,Cyient Ltd.,CYIENT.NS,NIFTY 500
DABUR,Dabur India Ltd.,DABUR.NS,NIFTY 500
DALBHARAT,Dalmia Bharat Ltd.,DALBHARAT.NS,NIFTY 500
