symbol,name,ticker,sector,source_index
IFCI,IFCI Ltd.,IFCI.NS,Financial Services,NIFTY 500
IGIL,International Gemological Institute Ltd.,IGIL.NS,Services,NIFTY 500
IGL,Indraprastha Gas Ltd.,IGL.NS,Oil Gas & Consumable Fuels,NIFTY 500
IIFL,IIFL Finance Ltd.,IIFL.NS,Financial Services,NIFTY 500
IKS,Inventurus Knowledge Solutions Ltd.,IKS.NS,Information Technology,NIFTY 500
INDGN,Indegene Ltd.,INDGN.NS,Healthcare,NIFTY 500
INDHOTEL,Indian Hotels Co. Ltd.,INDHOTEL.NS,Consumer Services,NIFTY 500
INDIACEM,India Cements Ltd.,INDIACEM.NS,Construction Materials,NIFTY 500
INDIAMART,Indiamart Intermesh Ltd.,INDIAMART.NS,Consumer Services,NIFTY 500
INDIANB,Indian Bank,INDIANB.NS,Financial Services,NIFTY 500
INDIGO,InterGlobe Aviation Ltd.,INDIGO.NS,Services,NIFTY 500
INDUSINDBK,IndusInd Bank Ltd.,INDUSINDBK.NS,Financial Services,NIFTY 500
INDUSTOWER,Indus Towers Ltd.,INDUSTOWER.NS,Telecommunication,NIFTY 500
INFY,Infosys Ltd.,INFY.NS,Information Technology,NIFTY 500
INOXWIND,Inox Wind Ltd.,INOXWIND.NS,Capital Goods,NIFTY 500
INTELLECT,Intellect Design Arena Ltd.,INTELLECT.NS,Information Technology,NIFTY 500
IOB,Indian Overseas Bank,IOB.NS,Financial Services,NIFTY 500
IOC,Indian Oil Corporation Ltd.,IOC.NS,Oil Gas & Consumable Fuels,NIFTY 500
IPCALAB,Ipca Laboratories Ltd.,IPCALAB.NS,Healthcare,NIFTY 500
IRB,IRB Infrastructure Developers Ltd.,IRB.NS,Construction,NIFTY 500
IRCON,IRCON International Ltd.,IRCON.NS,Construction,NIFTY 500
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,IRCTC.NS,Consumer Services,NIFTY 500
IREDA,Indian Renewable Energy Development Agency Ltd.,IREDA.NS,Financial Services,NIFTY 500
IRFC,Indian Railway Finance Corporation Ltd.,IRFC.NS,Financial Services,NIFTY 500
ITC,ITC Ltd.,ITC.NS,Fast Moving Consumer Goods,NIFTY 500
ITCHOTELS,ITC Hotels Ltd.,ITCHOTELS.NS,Consumer Services,NIFTY 500
ITI,ITI Ltd.,ITI.NS,Telecommunication,NIFTY 500
J&KBANK,Jammu & Kashmir Bank Ltd.,J&KBANK.NS,Financial Services,NIFTY 500
JAINREC,Jain Resource Recycling Ltd.,JAINREC.NS,Metals & Mining,NIFTY 500
JBMA,JBM Auto Ltd.,JBMA.NS,Automobile and Auto Components,NIFTY 500
JINDALSAW,Jindal Saw Ltd.,JINDALSAW.NS,Capital Goods,NIFTY 500
JINDALSTEL,Jindal Steel Ltd.,JINDALSTEL.NS,Metals & Mining,NIFTY 500
JIOFIN,Jio Financial Services Ltd.,JIOFIN.NS,Financial Services,NIFTY 500
JKCEMENT,J.K. Cement Ltd.,JKCEMENT.NS,Construction Materials,NIFTY 500
JKTYRE,JK Tyre & Industries Ltd.,JKTYRE.NS,Automobile and Auto Components,NIFTY 500
JMFINANCIL,JM Financial Ltd.,JMFINANCIL.NS,Financial Services,NIFTY 500
JPPOWER,Jaiprakash Power Ventures Ltd.,JPPOWER.NS,Power,NIFTY 500
JSL,Jindal Stainless Ltd.,JSL.NS,Metals & Mining,NIFTY 500
JSWCEMENT,JSW Cement Ltd.,JSWCEMENT.NS,Construction Materials,NIFTY 500
JSWDULUX,JSW Dulux Ltd.,JSWDULUX.NS,Consumer Durables,NIFTY 500
JSWENERGY,JSW Energy Ltd.,JSWENERGY.NS,Power,NIFTY 500
JSWINFRA,JSW Infrastructure Ltd.,JSWINFRA.NS,Services,NIFTY 500
JSWSTEEL,JSW Steel Ltd.,JSWSTEEL.NS,Metals & Mining,NIFTY 500
JUBLFOOD,Jubilant Foodworks Ltd.,JUBLFOOD.NS,Consumer Services,NIFTY 500
JUBLINGREA,Jubilant Ingrevia Ltd.,JUBLINGREA.NS,Chemicals,NIFTY 500
JUBLPHARMA,Jubilant Pharmova Ltd.,JUBLPHARMA.NS,Healthcare,NIFTY 500
JWL,Jupiter Wagons Ltd.,JWL.NS,Capital Goods,NIFTY 500
JYOTICNC,Jyoti CNC Automation Ltd.,JYOTICNC.NS,Capital Goods,NIFTY 500
KAJARIACER,Kajaria Ceramics Ltd.,KAJARIACER.NS,Consumer Durables,NIFTY 500
KALYANKJIL,Kalyan Jewellers India Ltd.,KALYANKJIL.NS,Consumer Durables,NIFTY 500
KARURVYSYA,Karur Vysya Bank Ltd.,KARURVYSYA.NS,Financial Services,NIFTY 500
KAYNES,Kaynes Technology India Ltd.,KAYNES.NS,Capital Goods,NIFTY 500
KEC,Kec International Ltd.,KEC.NS,Construction,NIFTY 500
KEI,KEI Industries Ltd.,KEI.NS,Capital Goods,NIFTY 500
KFINTECH,Kfin Technologies Ltd.,KFINTECH.NS,Financial Services,NIFTY 500
KIMS,Krishna Institute of Medical Sciences Ltd.,KIMS.NS,Healthcare,NIFTY 500
KIRLOSENG,Kirloskar Oil Eng Ltd.,KIRLOSENG.NS,Capital Goods,NIFTY 500
KOTAKBANK,Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,Financial Services,NIFTY 500
KPIL,Kalpataru Projects International Ltd.,KPIL.NS,Construction,NIFTY 500
KPITTECH,KPIT Technologies Ltd.,KPITTECH.NS,Information Technology,NIFTY 500
KPRMILL,K.P.R. Mill Ltd.,KPRMILL.NS,Textiles,NIFTY 500
LALPATHLAB,Dr. Lal Path Labs Ltd.,LALPATHLAB.NS,Healthcare,NIFTY 500
LATENTVIEW,Latent View Analytics Ltd.,LATENTVIEW.NS,Information Technology,NIFTY 500
LAURUSLABS,Laurus Labs Ltd.,LAURUSLABS.NS,Healthcare,NIFTY 500
LEMONTREE,Lemon Tree Hotels Ltd.,LEMONTREE.NS,Consumer Services,NIFTY 500
LENSKART,Lenskart Solutions Ltd.,LENSKART.NS,Consumer Services,NIFTY 500
LGEINDIA,LG Electronics India Ltd.,LGEINDIA.NS,Consumer Durables,NIFTY 500
LICHSGFIN,LIC Housing Finance Ltd.,LICHSGFIN.NS,Financial Services,NIFTY 500
LICI,Life Insurance Corporation of India,LICI.NS,Financial Services,NIFTY 500
LINDEINDIA,Linde India Ltd.,LINDEINDIA.NS,Chemicals,NIFTY 500
LLOYDSME,Lloyds Metals And Energy Ltd.,LLOYDSME.NS,Metals & Mining,NIFTY 500
LODHA,Lodha Developers Ltd.,LODHA.NS,Realty,NIFTY 500
LT,Larsen & Toubro Ltd.,LT.NS,Construction,NIFTY 500
LTF,L&T Finance Ltd.,LTF.NS,Financial Services,NIFTY 500
LTFOODS,LT Foods Ltd.,LTFOODS.NS,Fast Moving Consumer Goods,NIFTY 500
LTM,LTM Ltd.,LTM.NS,Information Technology,NIFTY 500
LTTS,L&T Technology Services Ltd.,LTTS.NS,Information Technology,NIFTY 500
LUPIN,Lupin Ltd.,LUPIN.NS,Healthcare,NIFTY 500
M&M,Mahindra & Mahindra Ltd.,M&M.NS,Automobile and Auto Components,NIFTY 500
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS,Financial Services,NIFTY 500
MAHABANK,Bank of Maharashtra,MAHABANK.NS,Financial Services,NIFTY 500
MANAPPURAM,Manappuram Finance Ltd.,MANAPPURAM.NS,Financial Services,NIFTY 500
MANKIND,Mankind Pharma Ltd.,MANKIND.NS,Healthcare,NIFTY 500
MAPMYINDIA,C.E. Info Systems Ltd.,MAPMYINDIA.NS,Information Technology,NIFTY 500
MARICO,Marico Ltd.,MARICO.NS,Fast Moving Consumer Goods,NIFTY 500
MARUTI,Maruti Suzuki India Ltd.,MARUTI.NS,Automobile and Auto Components,NIFTY 500
MAXHEALTH,Max Healthcare Institute Ltd.,MAXHEALTH.NS,Healthcare,NIFTY 500
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS,Capital Goods,NIFTY 500
MCX,Multi Commodity Exchange of India Ltd.,MCX.NS,Financial Services,NIFTY 500
MEDANTA,Global Health Ltd.,MEDANTA.NS,Healthcare,NIFTY 500
MEESHO,Meesho Ltd.,MEESHO.NS,Consumer Services,NIFTY 500
MFSL,Max Financial Services Ltd.,MFSL.NS,Financial Services,NIFTY 500
MGL,Mahanagar Gas Ltd.,MGL.NS,Oil Gas & Consumable Fuels,NIFTY 500
MINDACORP,Minda Corporation Ltd.,MINDACORP.NS,Automobile and Auto Components,NIFTY 500
MMTC,MMTC Ltd.,MMTC.NS,Services,NIFTY 500
MOTHERSON,Samvardhana Motherson International Ltd.,MOTHERSON.NS,Automobile and Auto Components,NIFTY 500
MOTILALOFS,Motilal Oswal Financial Services Ltd.,MOTILALOFS.NS,Financial Services,NIFTY 500
MPHASIS,MphasiS Ltd.,MPHASIS.NS,Information Technology,NIFTY 500
MRF,MRF Ltd.,MRF.NS,Automobile and Auto Components,NIFTY 500
MRPL,Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS,Oil Gas & Consumable Fuels,NIFTY 500
MSUMI,Motherson Sumi Wiring India Ltd.,MSUMI.NS,Automobile and Auto Components,NIFTY 500
MUTHOOTFIN,Muthoot Finance Ltd.,MUTHOOTFIN.NS,Financial Services,NIFTY 500
NAM-INDIA,Nippon Life India Asset Management Ltd.,NAM-INDIA.NS,Financial Services,NIFTY 500
NATCOPHARM,NATCO Pharma Ltd.,NATCOPHARM.NS,Healthcare,NIFTY 500
NATIONALUM,National Aluminium Co. Ltd.,NATIONALUM.NS,Metals & Mining,NIFTY 500
NAUKRI,Info Edge (India) Ltd.,NAUKRI.NS,Consumer Services,NIFTY 500
NAVA,Nava Ltd.,NAVA.NS,Power,NIFTY 500
NAVINFLUOR,Navin Fluorine International Ltd.,NAVINFLUOR.NS,Chemicals,NIFTY 500
NBCC,NBCC (India) Ltd.,NBCC.NS,Construction,NIFTY 500
NCC,NCC Ltd.,NCC.NS,Construction,NIFTY 500
NESTLEIND,Nestle India Ltd.,NESTLEIND.NS,Fast Moving Consumer Goods,NIFTY 500
NETWEB,Netweb Technologies India Ltd.,NETWEB.NS,Information Technology,NIFTY 500
NEULANDLAB,Neuland Laboratories Ltd.,NEULANDLAB.NS,Healthcare,NIFTY 500
NEWGEN,Newgen Software Technologies Ltd.,NEWGEN.NS,Information Technology,NIFTY 500
NH,Narayana Hrudayalaya Ltd.,NH.NS,Healthcare,NIFTY 500
NHPC,NHPC Ltd.,NHPC.NS,Power,NIFTY 500
NIACL,The New India Assurance Company Ltd.,NIACL.NS,Financial Services,NIFTY 500
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,NIVABUPA.NS,Financial Services,NIFTY 500
NLCINDIA,NLC India Ltd.,NLCINDIA.NS,Power,NIFTY 500
NMDC,NMDC Ltd.,NMDC.NS,Metals & Mining,NIFTY 500
NSLNISP,NMDC Steel Ltd.,NSLNISP.NS,Metals & Mining,NIFTY 500
NTPC,NTPC Ltd.,NTPC.NS,Power,NIFTY 500
NTPCGREEN,NTPC Green Energy Ltd.,NTPCGREEN.NS,Power,NIFTY 500
NUVAMA,Nuvama Wealth Management Ltd.,NUVAMA.NS,Financial Services,NIFTY 500
NUVOCO,Nuvoco Vistas Corporation Ltd.,NUVOCO.NS,Construction Materials,NIFTY 500
NYKAA,FSN E-Commerce Ventures Ltd.,NYKAA.NS,Consumer Services,NIFTY 500
OBEROIRLTY,Oberoi Realty Ltd.,OBEROIRLTY.NS,Realty,NIFTY 500
OFSS,Oracle Financial Services Software Ltd.,OFSS.NS,Information Technology,NIFTY 500
OIL,Oil India Ltd.,OIL.NS,Oil Gas & Consumable Fuels,NIFTY 500
OLAELEC,Ola Electric Mobility Ltd.,OLAELEC.NS,Automobile and Auto Components,NIFTY 500
OLECTRA,Olectra Greentech Ltd.,OLECTRA.NS,Automobile and Auto Components,NIFTY 500
