symbol,company,ticker,last_date,last_price,open,day_high,day_low,previous_close,change_pct,year_high,year_low,distance_from_52w_high_pct,fresh_52w_high,within_3pct_52w_high,volume,traded_value,source
HINDUNILVR,Hindustan Unilever Ltd.,HINDUNILVR.NS,2026-09-21,1958.4,,1966.6,1939.0,1942.2,0.83,2667.2,1926.2,-26.57,False,False,198732,,Nifty Indices constituents + Yahoo history
BAJAJHFL,Bajaj Housing Finance Ltd.,BAJAJHFL.NS,2026-09-21,84.25,,85.47,84.11,85.58,-1.55,114.95,72.65,-26.71,False,False,968182,,Nifty Indices constituents + Yahoo history
AFFLE,Affle 3i Ltd.,AFFLE.NS,2026-09-21,1597.3,,1617.9,1566.2,1603.5,-0.39,2185.9,1251.3,-26.93,False,False,41794,,Nifty Indices constituents + Yahoo history
CIEINDIA,CIE Automotive India Ltd.,CIEINDIA.NS,2026-09-21,382.3,,388.4,381.5,387.15,-1.25,526.0,366.9,-27.32,False,False,60014,,Nifty Indices constituents + Yahoo history
ICICIGI,ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS,2026-09-21,1500.5,,1506.8,1459.9,1458.1,2.91,2064.9,1423.1,-27.33,False,False,425509,,Nifty Indices constituents + Yahoo history
RHIM,RHI MAGNESITA INDIA LTD.,RHIM.NS,2026-09-21,369.2,,373.2,368.3,368.7,0.14,508.3,323.05,-27.37,False,False,22323,,Nifty Indices constituents + Yahoo history
RAMCOCEM,The Ramco Cements Ltd.,RAMCOCEM.NS,2026-09-21,882.0,,898.0,877.3,869.75,1.41,1214.5,838.3,-27.38,False,False,170168,,Nifty Indices constituents + Yahoo history
GODREJPROP,Godrej Properties Ltd.,GODREJPROP.NS,2026-09-21,1707.7,,1720.9,1697.0,1691.1,0.98,2352.0,1434.0,-27.39,False,False,117907,,Nifty Indices constituents + Yahoo history
VOLTAS,Voltas Ltd.,VOLTAS.NS,2026-09-21,1148.6,,1158.8,1125.0,1135.0,1.2,1582.5,1125.0,-27.42,False,False,478132,,Nifty Indices constituents + Yahoo history
DABUR,Dabur India Ltd.,DABUR.NS,2026-09-21,389.55,,392.8,387.6,395.25,-1.44,536.75,368.05,-27.42,False,False,436404,,Nifty Indices constituents + Yahoo history
J&KBANK,Jammu & Kashmir Bank Ltd.,J&KBANK.NS,2026-09-21,146.24,,146.85,143.43,146.58,-0.23,201.75,97.35,-27.51,False,False,1846487,,Nifty Indices constituents + Yahoo history
DALBHARAT,Dalmia Bharat Ltd.,DALBHARAT.NS,2026-09-21,1767.2,,1814.4,1762.4,1761.4,0.33,2439.3,1605.0,-27.55,False,False,54761,,Nifty Indices constituents + Yahoo history
IOC,Indian Oil Corporation Ltd.,IOC.NS,2026-09-21,136.88,,137.7,136.34,137.0,-0.09,188.96,130.22,-27.56,False,False,2925311,,Nifty Indices constituents + Yahoo history
FSL,Firstsource Solutions Ltd.,FSL.NS,2026-09-21,271.3,,272.75,271.0,273.1,-0.66,374.5,202.0,-27.56,False,False,132324,,Nifty Indices constituents + Yahoo history
JKCEMENT,J.K. Cement Ltd.,JKCEMENT.NS,2026-09-21,5016.5,,5108.0,5008.5,5064.5,-0.95,6925.0,4671.5,-27.56,False,False,5049,,Nifty Indices constituents + Yahoo history
HDFCBANK,HDFC Bank Ltd.,HDFCBANK.NS,2026-09-21,738.25,,738.75,729.05,731.0,0.99,1020.5,681.9,-27.66,False,False,10885350,,Nifty Indices constituents + Yahoo history
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG.NS,2026-09-21,1490.8,,1507.5,1483.8,1507.7,-1.12,2064.0,1305.0,-27.77,False,False,35497,,Nifty Indices constituents + Yahoo history
PFIZER,Pfizer Ltd.,PFIZER.NS,2026-09-21,4027.0,,4045.0,4000.0,4014.8,0.3,5578.5,3955.5,-27.81,False,False,8149,,Nifty Indices constituents + Yahoo history
BIKAJI,Bikaji Foods International Ltd.,BIKAJI.NS,2026-09-21,570.0,,576.9,569.1,580.25,-1.77,790.0,532.75,-27.85,False,False,22527,,Nifty Indices constituents + Yahoo history
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,GMDCLTD.NS,2026-09-21,556.2,,561.85,553.2,556.45,-0.04,771.9,466.4,-27.94,False,False,327389,,Nifty Indices constituents + Yahoo history
CLEAN,Clean Science and Technology Ltd.,CLEAN.NS,2026-09-21,845.0,,861.9,844.2,851.9,-0.81,1173.5,652.0,-27.99,False,False,98902,,Nifty Indices constituents + Yahoo history
JIOFIN,Jio Financial Services Ltd.,JIOFIN.NS,2026-09-21,229.68,,231.57,229.55,229.89,-0.09,319.0,223.3,-28.0,False,False,2061931,,Nifty Indices constituents + Yahoo history
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS,2026-09-21,226.21,,226.69,225.13,227.12,-0.4,314.5,217.4,-28.07,False,False,424554,,Nifty Indices constituents + Yahoo history
NUVOCO,Nuvoco Vistas Corporation Ltd.,NUVOCO.NS,2026-09-21,325.15,,331.55,324.0,328.6,-1.05,453.25,276.25,-28.26,False,False,28146,,Nifty Indices constituents + Yahoo history
BANKBARODA,Bank of Baroda,BANKBARODA.NS,2026-09-21,233.35,,234.51,232.85,234.94,-0.68,325.5,231.92,-28.31,False,False,1521807,,Nifty Indices constituents + Yahoo history
BSE,BSE Ltd.,BSE.NS,2026-09-21,3182.4,,3258.0,3167.0,3266.4,-2.57,4446.8,2021.5,-28.43,False,False,1721536,,Nifty Indices constituents + Yahoo history
DIXON,Dixon Technologies (India) Ltd.,DIXON.NS,2026-09-21,13208.0,,13315.0,13125.0,13005.0,1.56,18471.0,9600.0,-28.49,False,False,73406,,Nifty Indices constituents + Yahoo history
APTUS,Aptus Value Housing Finance India Ltd.,APTUS.NS,2026-09-21,237.26,,240.47,234.5,237.68,-0.18,332.0,193.03,-28.54,False,False,279319,,Nifty Indices constituents + Yahoo history
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,GRSE.NS,2026-09-21,2385.9,,2418.8,2378.9,2411.8,-1.07,3339.0,1963.7,-28.54,False,False,85258,,Nifty Indices constituents + Yahoo history
IEX,Indian Energy Exchange Ltd.,IEX.NS,2026-09-21,114.3,,115.56,114.14,115.46,-1.0,160.27,110.35,-28.68,False,False,785220,,Nifty Indices constituents + Yahoo history
TRITURBINE,Triveni Turbine Ltd.,TRITURBINE.NS,2026-09-21,561.75,,572.2,561.1,567.8,-1.07,787.6,428.35,-28.68,False,False,106036,,Nifty Indices constituents + Yahoo history
ESCORTS,Escorts Kubota Ltd.,ESCORTS.NS,2026-09-21,2842.9,,2859.3,2797.2,2798.2,1.6,3987.8,2700.0,-28.71,False,False,22802,,Nifty Indices constituents + Yahoo history
HCLTECH,HCL Technologies Ltd.,HCLTECH.NS,2026-09-21,1265.5,,1274.0,1237.3,1249.3,1.3,1780.1,1030.0,-28.91,False,False,577123,,Nifty Indices constituents + Yahoo history
PFC,Power Finance Corporation Ltd.,PFC.NS,2026-09-21,345.15,,347.25,342.6,342.55,0.76,486.5,329.9,-29.05,False,False,2909601,,Nifty Indices constituents + Yahoo history
IDBI,IDBI Bank Ltd.,IDBI.NS,2026-09-21,83.84,,84.39,82.75,83.06,0.94,118.38,61.01,-29.18,False,False,3519796,,Nifty Indices constituents + Yahoo history
HDFCLIFE,HDFC Life Insurance Company Ltd.,HDFCLIFE.NS,2026-09-21,563.2,,565.9,551.65,550.95,2.22,796.9,508.7,-29.33,False,False,1125695,,Nifty Indices constituents + Yahoo history
HUDCO,Housing & Urban Development Corporation Ltd.,HUDCO.NS,2026-09-21,174.25,,177.0,173.95,174.92,-0.38,246.85,159.0,-29.41,False,False,505926,,Nifty Indices constituents + Yahoo history
BDL,Bharat Dynamics Ltd.,BDL.NS,2026-09-21,1166.6,,1182.9,1164.3,1196.6,-2.51,1654.0,1086.0,-29.47,False,False,362552,,Nifty Indices constituents + Yahoo history
SUZLON,Suzlon Energy Ltd.,SUZLON.NS,2026-09-21,43.32,,43.63,43.11,43.14,0.42,61.5,38.19,-29.56,False,False,10950600,,Nifty Indices constituents + Yahoo history
MARUTI,Maruti Suzuki India Ltd.,MARUTI.NS,2026-09-21,12208.0,,12216.0,12129.0,12103.0,0.87,17370.0,12103.0,-29.72,False,False,54347,,Nifty Indices constituents + Yahoo history
INDIACEM,India Cements Ltd.,INDIACEM.NS,2026-09-21,341.4,,347.3,341.1,344.8,-0.99,485.8,331.65,-29.72,False,False,35402,,Nifty Indices constituents + Yahoo history
DCMSHRIRAM,DCM Shriram Ltd.,DCMSHRIRAM.NS,2026-09-21,990.0,,1008.9,987.0,995.0,-0.5,1409.0,945.1,-29.74,False,False,11231,,Nifty Indices constituents + Yahoo history
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS,2026-09-21,496.4,,500.0,491.05,492.0,0.89,706.8,455.3,-29.77,False,False,296594,,Nifty Indices constituents + Yahoo history
CESC,CESC Ltd.,CESC.NS,2026-09-21,143.32,,143.9,141.12,141.53,1.26,204.5,138.12,-29.92,False,False,664852,,Nifty Indices constituents + Yahoo history
HINDPETRO,Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,2026-09-21,356.15,,359.85,355.5,350.05,1.74,508.45,316.2,-29.95,False,False,589870,,Nifty Indices constituents + Yahoo history
BBTC,Bombay Burmah Trading Corporation Ltd.,BBTC.NS,2026-09-21,1494.9,,1517.7,1490.6,1512.1,-1.14,2135.0,1314.6,-29.98,False,False,46473,,Nifty Indices constituents + Yahoo history
BAYERCROP,Bayer Cropscience Ltd.,BAYERCROP.NS,2026-09-21,3741.9,,3793.1,3741.0,3779.5,-0.99,5346.0,3741.0,-30.01,False,False,18310,,Nifty Indices constituents + Yahoo history
OLECTRA,Olectra Greentech Ltd.,OLECTRA.NS,2026-09-21,1198.0,,1213.0,1195.6,1198.8,-0.07,1714.2,866.6,-30.11,False,False,61224,,Nifty Indices constituents + Yahoo history
LTTS,L&T Technology Services Ltd.,LTTS.NS,2026-09-21,3299.3,,3348.2,3294.2,3347.5,-1.44,4726.0,3010.0,-30.19,False,False,21078,,Nifty Indices constituents + Yahoo history
